AE,10Hz_samples
0,4698
10,526482
20,1666287
30,1783463
40,1835195
50,1825067
60,1461799
70,1145870
80,840331
90,643061
100,583493
110,547681
120,442415
130,431461
140,405644
150,367220
160,348196
170,309055
180,309627
190,304662
200,314276
210,256587
220,277428
230,250739
240,236059
250,251238
260,227035
270,219996
280,208815
290,203283
300,200357
310,178470
320,202731
330,200146
340,191742
350,189417
360,190886
370,197284
380,165004
390,178428
400,179599
410,183120
420,147819
430,157341
440,161889
450,150991
460,137882
470,131371
480,116345
490,115539
500,96106
510,93974
520,78249
530,99841
540,93907
550,100210
560,94051
570,77357
580,92540
590,78656
600,73695
610,72059
620,70189
630,66079
640,65407
650,70308
660,50277
670,59299
680,49745
690,48700
700,55387
710,50581
720,45672
730,49309
740,43101
750,43347
760,38689
770,42173
780,37975
790,39034
800,38080
810,34022
820,29369
830,24794
840,30880
850,30196
860,24584
870,34618
880,23117
890,20782
900,20133
910,27969
920,27716
930,18254
940,23281
950,18375
960,14397
970,21738
980,12790
990,12182
1000,14673
1010,12221
1020,9172
1030,8764
1040,11610
1050,11688
1060,12056
1070,12327
1080,6446
1090,7846
1100,9348
1110,5262
1120,5460
1130,7452
1140,6538
1150,5550
1160,8808
1170,5256
1180,6045
1190,3599
1200,4672
1210,2336
1220,5256
1230,1752
1240,2830
1250,2919
1260,1752
1270,1752
1280,1610
1290,2339
1300,1752
1310,584
1320,584
1330,3507
1340,1214
1350,1168
1360,1168
1370,1168
1380,1752
1390,584
1400,1752
1410,584
1420,1752
1430,0
1440,584
1450,1168
1460,1168
1470,0
1480,584
1490,0
1500,1168
1510,0
1520,1168
1530,1168
1540,1168
1550,584
1560,1168
1570,0
1580,1168
1590,584
1600,0
1610,0
1620,584
1630,0
1640,1168
1650,0
1660,584
1670,0
1680,0
1690,0
1700,0
1710,0
1720,0
1730,0
1740,0
1750,0
1760,0
1770,0
1780,0
1790,0
1800,0
1810,0
1820,0
1830,0
1840,0
1850,0
1860,0
1870,0
1880,0
1890,0
1900,0
1910,0
1920,0
1930,0
1940,0
1950,0
1960,0
1970,0
1980,0
1990,0
